iter	RMSE
867	10367.94028
868	10359.22595
869	10354.37993
870	10339.10122
871	10335.22632
872	10325.43524
873	10314.57314
874	10309.87175
875	10305.98658
876	10302.79657
877	10297.83151
878	10288.85489
879	10282.51532
880	10270.21976
881	10265.20975
882	10264.91541
883	10256.43278
884	10248.90562
885	10244.65463
886	10244.16163
887	10238.92425
888	10235.93155
889	10228.40494
890	10220.17783
891	10211.68363
892	10210.78118
893	10209.15907
894	10204.07332
895	10202.51608
896	10190.00407
897	10186.67829
898	10177.56571
899	10174.31142
900	10168.05656
901	10166.17241
902	10150.7498
903	10143.49081
904	10142.43034
905	10135.17286
906	10126.14641
907	10124.68924
908	10121.04655
909	10117.95027
910	10111.29223
911	10105.52646
912	10096.32951
913	10085.47271
914	10081.84334
915	10076.44174
916	10072.57354
917	10071.14682
918	10063.1054
919	10056.71239
920	10053.0899
921	10042.79003
922	10037.30312
923	10033.93489
924	10030.03267
925	10015.79038
926	10000.11965
927	9994.081272
928	9988.933043
929	9979.475032
930	9973.672311
931	9970.233019
932	9961.411326
933	9953.32444
934	9950.984756
935	9949.626038
936	9949.027595
937	9936.233414
938	9931.461801
939	9928.224537
940	9919.654319
941	9915.245697
942	9913.075089
943	9909.107879
944	9903.218562
945	9900.102459
946	9894.624544
947	9894.041773
948	9878.598985
949	9873.79271
950	9869.589064
951	9862.429935
952	9858.25174
953	9852.895301
954	9847.411711
955	9846.12246
956	9835.655475
957	9824.062836
958	9818.763216
959	9811.236331
960	9800.375389
961	9797.745581
962	9795.147486
963	9786.116429
964	9777.159759
965	9776.665947
966	9776.379353
967	9768.454428
968	9765.960026
969	9759.210132
970	9754.769958
971	9754.057089
972	9747.304484
973	9741.102644
974	9739.192073
975	9735.056354
976	9730.752463
977	9723.08481
978	9716.329382
979	9710.893289
980	9707.962577
981	9699.31882
982	9697.763033
983	9690.61462
984	9687.367323
985	9685.927961
986	9685.038023
987	9677.100445
988	9667.447852
989	9659.131711
990	9654.068925
991	9653.358836
992	9644.95973
993	9642.501228
994	9638.655104
995	9626.176594
996	9626.025873
997	9620.229026
998	9615.301419
999	9612.283761
